"Story","Title","Result","Date","Stability","Duration (s)"
"Proceso de compra","realizar una compra de forma exitosa","SUCCESS","2024-01-19T15:40:54.844729-05:00[America/Bogota]","0.0","4.02"
"Proceso de compra en saucedemo","realizar una compra de forma exitosa","SUCCESS","2024-01-24T14:06:23.810652-05:00[America/Bogota]","0.0","11.97"
